"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.19047619047619,0.19047619047619
"web asymmetry",-0.222222222222222,-0.222222222222222
"links per species",2.44444444444444,2.44444444444444
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.151515151515152,0.151515151515152
"nestedness",18.4818066909596,18.4915009237987
"weighted nestedness",0.4562628216294,0.460750972025899
"weighted NODF",0,0
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.023095972017376,0.023095972017376
"linkage density",8.33333333333333,8.33333333333333
"weighted connectance",0.154320987654321,0.154320987654321
"Fisher alpha",53687089132.6668,53687089132.6668
"Shannon diversity",4.88280192258637,4.88280192258637
"interaction evenness",0.746488232463557,0.746488232463557
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",21,33
"mean.number.of.shared.partners.HL",1.64285714285714,1.17992424242424
"cluster.coefficient.HL",0.316345270890725,0.296536796536797
"weighted.cluster.coefficient.HL",0.628695809903864,0.729449606862044
"niche.overlap.HL",0.250308199900712,0.261653844664681
"togetherness.HL",0.111463844797178,0.140952797202797
"C.score.HL",0.442224422271423,0.518914216570467
"V.ratio.HL",5.90461538461538,3.25789120214909
"discrepancy.HL",59,60
"extinction.slope.HL",4.31861558495507,0.999985770244934
"robustness.HL",0.797414264496676,0.756757374730651
"functional.complementarity.HL",48.2134157238642,56.9350065108514
"partner.diversity.HL",2.13882322641038,1.60866856169546
"generality.HL",10.4393939393939,6.22727272727273
"Raw.Camera",509,509
"Raw.Transect",116,116
