"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.25,0.25
"web asymmetry",0.333333333333333,0.333333333333333
"links per species",0.666666666666667,0.666666666666667
"number of compartments",4,4
"compartment diversity",3.46410161513775,3.46410161513775
"cluster coefficient",0.25,0.25
"nestedness",42.3295278142562,42.3295278142562
"weighted nestedness",NA,NA
"weighted NODF",0,0
"interaction strength asymmetry",NA,NA
"specialisation asymmetry",NA,NA
"linkage density",2.25,2.25
"weighted connectance",0.1875,0.1875
"Fisher alpha",13421770604.0004,13421770604.0004
"Shannon diversity",2.07944154167984,2.07944154167984
"interaction evenness",0.6,0.6
"Alatalo interaction evenness",1,1
"H2",NA,NA
"number.of.species.HL",8,4
"mean.number.of.shared.partners.HL",0.357142857142857,0
"cluster.coefficient.HL",0.25,0.4375
"weighted.cluster.coefficient.HL",NA,NA
"niche.overlap.HL",0.357142857142857,0
"togetherness.HL",0.357142857142857,0
"C.score.HL",0.642857142857143,1
"V.ratio.HL",0,2
"discrepancy.HL",5,3
"extinction.slope.HL",1.05291861122235,0.990132709035845
"robustness.HL",0.516666666666667,0.576358665821658
"functional.complementarity.HL",5.65685424949238,7.72740661031255
"partner.diversity.HL",0,1.00589869527131
"generality.HL",1,3.5
"Raw.Camera",19,19
"Raw.Transect",11,11
