"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.263888888888889,0.263888888888889
"web asymmetry",-0.333333333333333,-0.333333333333333
"links per species",1.05555555555556,1.05555555555556
"number of compartments",2,2
"compartment diversity",1.5691925832142,1.5691925832142
"cluster coefficient",0.291666666666667,0.291666666666667
"nestedness",30.7685418563729,30.7685418563729
"weighted nestedness",0.268515708948498,0.272770468970179
"weighted NODF",26.7489711934156,26.7489711934156
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.281248270767259,0.281248270767259
"linkage density",3.05263157894737,3.05263157894737
"weighted connectance",0.169590643274854,0.169590643274854
"Fisher alpha",1677721597.65789,1677721597.65789
"Shannon diversity",2.94443897916644,2.94443897916644
"interaction evenness",0.688489327252855,0.688489327252855
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",6,12
"mean.number.of.shared.partners.HL",0.6,0.454545454545455
"cluster.coefficient.HL",0.346491228070175,0.324561403508772
"weighted.cluster.coefficient.HL",0.0681818181818182,0.333333333333333
"niche.overlap.HL",0.187195767195767,0.259090909090909
"togetherness.HL",0.102083333333333,0.168350168350168
"C.score.HL",0.731481481481482,0.599747474747475
"V.ratio.HL",1.46753246753247,0.557046979865772
"discrepancy.HL",8,9
"extinction.slope.HL",2.71530732328595,1.53682319164323
"robustness.HL",0.715218023374689,0.599116638396469
"functional.complementarity.HL",11.438841900598,11.3986446057231
"partner.diversity.HL",1.32298676685957,0.565818779756228
"generality.HL",4.15789473684211,1.94736842105263
"Raw.Camera",46,46
"Raw.Transect",8,8
