"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.234126984126984,0.234126984126984
"web asymmetry",-0.125,-0.125
"links per species",1.84375,1.84375
"number of compartments",2,2
"compartment diversity",1.26338125030273,1.26338125030273
"cluster coefficient",0.166666666666667,0.166666666666667
"nestedness",17.8239408925946,18.641115087247
"weighted nestedness",0.46516992620226,0.448558047555305
"weighted NODF",0,0
"interaction strength asymmetry",0,0
"specialisation asymmetry",-0.05082974443078,-0.05082974443078
"linkage density",6.28813559322034,6.28813559322034
"weighted connectance",0.196504237288136,0.196504237288136
"Fisher alpha",6710886388.82203,6710886388.82203
"Shannon diversity",4.07753744390572,4.07753744390572
"interaction evenness",0.737424674296864,0.737424674296864
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",14,18
"mean.number.of.shared.partners.HL",1.45054945054945,1.17647058823529
"cluster.coefficient.HL",0.394538606403013,0.391041162227603
"weighted.cluster.coefficient.HL",0.604568854568855,0.597159090909091
"niche.overlap.HL",0.352661545446392,0.320789623038758
"togetherness.HL",0.1661918328585,0.191866376180102
"C.score.HL",0.311787749287749,0.453533042846768
"V.ratio.HL",4.74155069582505,3.62830482115085
"discrepancy.HL",15,14
"extinction.slope.HL",2.79468729629556,2.50771691804115
"robustness.HL",0.73023420272257,0.709414046764679
"functional.complementarity.HL",23.8292563552294,25.1296455262732
"partner.diversity.HL",1.7451166078753,1.43733522056401
"generality.HL",7.10169491525424,5.47457627118644
"Raw.Camera",268,268
"Raw.Transect",49,49
