"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Gorgeted Sunangel","Purple-bibbed Whitetip","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,2,0,0,0
"Columnea ciliata",0,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0
"Columnea strigosa",0,1.66666666666667,0,0,0,0,0,0,0,2.33333333333333,0.333333333333333,0,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,2,0,0,0,2
"Guzmania jaramilloi",1.5,0,0,0,0,0,0,0,0,0,5,0,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,1,1,0,5,4
"Meriania tomentosa",0,0.333333333333333,4,0.333333333333333,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,0,0,0,3,0,0,0,0,0,0,0
"Palicourea demissa",2.33333333333333,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0
"Renealmia sessilifolia",2.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0
