"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.186274509803922,0.186274509803922
"web asymmetry",-0.236363636363636,-0.236363636363636
"links per species",2.41818181818182,2.41818181818182
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.147058823529412,0.147058823529412
"nestedness",19.9068893535928,20.0159339032062
"weighted nestedness",0.397754143599096,0.402788573762753
"weighted NODF",0,0
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.0349480386962721,0.0349480386962721
"linkage density",8.28571428571428,8.28571428571428
"weighted connectance",0.150649350649351,0.150649350649351
"Fisher alpha",13421772734.1692,13421772734.1692
"Shannon diversity",4.89034912822175,4.89034912822175
"interaction evenness",0.744245355799265,0.744245355799265
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",21,34
"mean.number.of.shared.partners.HL",1.64285714285714,1.11229946524064
"cluster.coefficient.HL",0.305395842547545,0.294665234514859
"weighted.cluster.coefficient.HL",0.62625350076791,0.729449606862044
"niche.overlap.HL",0.244287209598575,0.246485258436633
"togetherness.HL",0.111127819548872,0.132764294529
"C.score.HL",0.465105982139198,0.54543084910732
"V.ratio.HL",5.74213197969543,3.27698185291309
"discrepancy.HL",60,61
"extinction.slope.HL",4.60911224707145,3.39149722894256
"robustness.HL",0.806901797904737,0.760900621606461
"functional.complementarity.HL",49.6678160132958,58.3988866459776
"partner.diversity.HL",2.13316511464128,1.59657330935189
"generality.HL",10.3834586466165,6.18796992481203
"Raw.Camera",509,509
"Raw.Transect",117,117
