"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.3125,0.3125
"web asymmetry",0,0
"links per species",0.625,0.625
"number of compartments",3,3
"compartment diversity",2.95115178586752,2.95115178586752
"cluster coefficient",0.25,0.25
"nestedness",40.00359314164,40.00359314164
"weighted nestedness",NA,NA
"weighted NODF",0,0
"interaction strength asymmetry",NA,NA
"specialisation asymmetry",0,0
"linkage density",1.4,1.4
"weighted connectance",0.175,0.175
"Fisher alpha",838860790,838860790
"Shannon diversity",1.6094379124341,1.6094379124341
"interaction evenness",0.580482023721841,0.580482023721841
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",4,4
"mean.number.of.shared.partners.HL",0.166666666666667,0.166666666666667
"cluster.coefficient.HL",0.35,0.35
"weighted.cluster.coefficient.HL",NA,NA
"niche.overlap.HL",0.166666666666667,0.166666666666667
"togetherness.HL",0.166666666666667,0.125
"C.score.HL",0.833333333333333,0.833333333333333
"V.ratio.HL",0.230769230769231,0.230769230769231
"discrepancy.HL",2,2
"extinction.slope.HL",1.15961756854717,1.27367243687598
"robustness.HL",0.5375,0.575
"functional.complementarity.HL",4.87831517751085,4.87831517751085
"partner.diversity.HL",0.277258872223978,0.277258872223978
"generality.HL",1.4,1.4
"Raw.Camera",0,0
"Raw.Transect",11,11
