"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.170940170940171,0.170940170940171
"web asymmetry",0.181818181818182,0.181818181818182
"links per species",0.909090909090909,0.909090909090909
"number of compartments",3,3
"compartment diversity",1.82242143054562,1.82242143054562
"cluster coefficient",0.111111111111111,0.111111111111111
"nestedness",29.485283466428,29.6358642368953
"weighted nestedness",NA,NA
"weighted NODF",0,0
"interaction strength asymmetry",0,0
"specialisation asymmetry",-0.12733774760613,-0.12733774760613
"linkage density",2.55,2.55
"weighted connectance",0.115909090909091,0.115909090909091
"Fisher alpha",3355443160,3355443160
"Shannon diversity",2.99573227355399,2.99573227355399
"interaction evenness",0.62906821854276,0.62906821854276
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",13,9
"mean.number.of.shared.partners.HL",0.269230769230769,0.277777777777778
"cluster.coefficient.HL",0.222222222222222,0.238461538461538
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.148717948717949,0.093342151675485
"togetherness.HL",0.0807692307692308,0.0541666666666667
"C.score.HL",0.764423076923077,0.807638888888889
"V.ratio.HL",0.606060606060606,1.12857142857143
"discrepancy.HL",13,12
"extinction.slope.HL",1.41557891710217,1.90896972370796
"robustness.HL",0.580610726860276,0.652866430487174
"functional.complementarity.HL",15.7371288558548,16.5231538862968
"partner.diversity.HL",0.554517744447956,0.983039629744709
"generality.HL",2,3.1
"Raw.Camera",57,57
"Raw.Transect",0,0
