"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.215909090909091,0.215909090909091
"web asymmetry",-0.157894736842105,-0.157894736842105
"links per species",1,1
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.227272727272727,0.227272727272727
"nestedness",33.4294026327122,33.8369438598658
"weighted nestedness",0.115721037512173,0.120073861097176
"weighted NODF",20.8835341365462,20.8835341365462
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.224768947292448,0.224768947292448
"linkage density",2.52631578947368,2.52631578947368
"weighted connectance",0.132963988919668,0.132963988919668
"Fisher alpha",1677721597.65789,1677721597.65789
"Shannon diversity",2.94443897916644,2.94443897916644
"interaction evenness",0.657631780045029,0.657631780045029
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",8,11
"mean.number.of.shared.partners.HL",0.428571428571429,0.309090909090909
"cluster.coefficient.HL",0.253588516746411,0.282894736842105
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.172278911564626,0.154891774891775
"togetherness.HL",0.120535714285714,0.0909090909090909
"C.score.HL",0.700396825396825,0.748484848484849
"V.ratio.HL",0.577981651376147,0.717948717948718
"discrepancy.HL",12,9
"extinction.slope.HL",2.39869220508239,1.58516843547972
"robustness.HL",0.701538360717499,0.610217832242647
"functional.complementarity.HL",13.7142868553187,14.9979839941385
"partner.diversity.HL",0.958172461301702,0.684205125991766
"generality.HL",2.78947368421053,2.26315789473684
"Raw.Camera",59,59
"Raw.Transect",5,5
