"","Metric","Level","value","Time"
"1","connectance","Hummingbirds",0.182539682539683,"(0,4].2014.High"
"2","web asymmetry","Hummingbirds",-0.272727272727273,"(0,4].2014.High"
"3","links per species","Hummingbirds",1.39393939393939,"(0,4].2014.High"
"4","number of compartments","Hummingbirds",2,"(0,4].2014.High"
"5","compartment diversity","Hummingbirds",1.25687926337509,"(0,4].2014.High"
"6","cluster coefficient","Hummingbirds",0.166666666666667,"(0,4].2014.High"
"7","nestedness","Hummingbirds",25.2968104212879,"(0,4].2014.High"
"8","weighted nestedness","Hummingbirds",0.213702741906728,"(0,4].2014.High"
"9","weighted NODF","Hummingbirds",13.0624568668047,"(0,4].2014.High"
"10","interaction strength asymmetry","Hummingbirds",0.0606759380745596,"(0,4].2014.High"
"11","specialisation asymmetry","Hummingbirds",0.121842461721948,"(0,4].2014.High"
"12","linkage density","Hummingbirds",3.17738174972711,"(0,4].2014.High"
"13","weighted connectance","Hummingbirds",0.096284295446276,"(0,4].2014.High"
"14","Fisher alpha","Hummingbirds",NA,"(0,4].2014.High"
"15","Shannon diversity","Hummingbirds",3.35583699723323,"(0,4].2014.High"
"16","interaction evenness","Hummingbirds",0.606904789648647,"(0,4].2014.High"
"17","Alatalo interaction evenness","Hummingbirds",0.66585410237316,"(0,4].2014.High"
"18","H2","Hummingbirds",0.660927352289834,"(0,4].2014.High"
"19","number.of.species.HL","Hummingbirds",12,"(0,4].2014.High"
"20","mean.number.of.shared.partners.HL","Hummingbirds",0.712121212121212,"(0,4].2014.High"
"21","cluster.coefficient.HL","Hummingbirds",0.305667799034507,"(0,4].2014.High"
"22","weighted.cluster.coefficient.HL","Hummingbirds",0.271978946555367,"(0,4].2014.High"
"23","niche.overlap.HL","Hummingbirds",0.0985226676855469,"(0,4].2014.High"
"24","togetherness.HL","Hummingbirds",0.0854978354978355,"(0,4].2014.High"
"25","C.score.HL","Hummingbirds",0.693708513708514,"(0,4].2014.High"
"26","V.ratio.HL","Hummingbirds",2.49514563106796,"(0,4].2014.High"
"27","discrepancy.HL","Hummingbirds",23,"(0,4].2014.High"
"28","extinction.slope.HL","Hummingbirds",2.88941419471946,"(0,4].2014.High"
"29","robustness.HL","Hummingbirds",0.726935532653914,"(0,4].2014.High"
"30","functional.complementarity.HL","Hummingbirds",51.8234856548409,"(0,4].2014.High"
"31","partner.diversity.HL","Hummingbirds",1.32391031036644,"(0,4].2014.High"
"32","generality.HL","Hummingbirds",4.12501108830615,"(0,4].2014.High"
"33","Raw.Camera","Hummingbirds",150,"(0,4].2014.High"
"34","Raw.Transect","Hummingbirds",38,"(0,4].2014.High"
"35","connectance","Plants",0.182539682539683,"(0,4].2014.High"
"36","web asymmetry","Plants",-0.272727272727273,"(0,4].2014.High"
"37","links per species","Plants",1.39393939393939,"(0,4].2014.High"
"38","number of compartments","Plants",2,"(0,4].2014.High"
"39","compartment diversity","Plants",1.25687926337509,"(0,4].2014.High"
"40","cluster coefficient","Plants",0.166666666666667,"(0,4].2014.High"
"41","nestedness","Plants",24.9701689625074,"(0,4].2014.High"
"42","weighted nestedness","Plants",0.207179810921198,"(0,4].2014.High"
"43","weighted NODF","Plants",13.0624568668047,"(0,4].2014.High"
"44","interaction strength asymmetry","Plants",0.0606759380745596,"(0,4].2014.High"
"45","specialisation asymmetry","Plants",0.121842461721948,"(0,4].2014.High"
"46","linkage density","Plants",3.17738174972711,"(0,4].2014.High"
"47","weighted connectance","Plants",0.096284295446276,"(0,4].2014.High"
"48","Fisher alpha","Plants",NA,"(0,4].2014.High"
"49","Shannon diversity","Plants",3.35583699723323,"(0,4].2014.High"
"50","interaction evenness","Plants",0.606904789648647,"(0,4].2014.High"
"51","Alatalo interaction evenness","Plants",0.66585410237316,"(0,4].2014.High"
"52","H2","Plants",0.660927352289834,"(0,4].2014.High"
"53","number.of.species.HL","Plants",21,"(0,4].2014.High"
"54","mean.number.of.shared.partners.HL","Plants",0.514285714285714,"(0,4].2014.High"
"55","cluster.coefficient.HL","Plants",0.260763454317897,"(0,4].2014.High"
"56","weighted.cluster.coefficient.HL","Plants",0.45342186894145,"(0,4].2014.High"
"57","niche.overlap.HL","Plants",0.164097008813433,"(0,4].2014.High"
"58","togetherness.HL","Plants",0.105952380952381,"(0,4].2014.High"
"59","C.score.HL","Plants",0.667328042328042,"(0,4].2014.High"
"60","V.ratio.HL","Plants",1.17045454545455,"(0,4].2014.High"
"61","discrepancy.HL","Plants",24,"(0,4].2014.High"
"62","extinction.slope.HL","Plants",1.8740492858756,"(0,4].2014.High"
"63","robustness.HL","Plants",0.648003219188565,"(0,4].2014.High"
"64","functional.complementarity.HL","Plants",53.3622524772701,"(0,4].2014.High"
"65","partner.diversity.HL","Plants",0.723521911031844,"(0,4].2014.High"
"66","generality.HL","Plants",2.22975241114806,"(0,4].2014.High"
"67","Raw.Camera","Plants",150,"(0,4].2014.High"
"68","Raw.Transect","Plants",38,"(0,4].2014.High"
"69","connectance","Hummingbirds",0.2265625,"(0,4].2014.Low"
"70","web asymmetry","Hummingbirds",-0.333333333333333,"(0,4].2014.Low"
"71","links per species","Hummingbirds",1.20833333333333,"(0,4].2014.Low"
"72","number of compartments","Hummingbirds",1,"(0,4].2014.Low"
"73","compartment diversity","Hummingbirds",NA,"(0,4].2014.Low"
"74","cluster coefficient","Hummingbirds",0.21875,"(0,4].2014.Low"
"75","nestedness","Hummingbirds",26.1717845911752,"(0,4].2014.Low"
"76","weighted nestedness","Hummingbirds",0.39589869077043,"(0,4].2014.Low"
"77","weighted NODF","Hummingbirds",21.3626126126126,"(0,4].2014.Low"
"78","interaction strength asymmetry","Hummingbirds",0.0106579245417882,"(0,4].2014.Low"
"79","specialisation asymmetry","Hummingbirds",0.153428471213176,"(0,4].2014.Low"
"80","linkage density","Hummingbirds",2.96034854548993,"(0,4].2014.Low"
"81","weighted connectance","Hummingbirds",0.12334785606208,"(0,4].2014.Low"
"82","Fisher alpha","Hummingbirds",NA,"(0,4].2014.Low"
"83","Shannon diversity","Hummingbirds",3.03388389287134,"(0,4].2014.Low"
"84","interaction evenness","Hummingbirds",0.625281320982627,"(0,4].2014.Low"
"85","Alatalo interaction evenness","Hummingbirds",0.774494692282548,"(0,4].2014.Low"
"86","H2","Hummingbirds",0.662365309755863,"(0,4].2014.Low"
"87","number.of.species.HL","Hummingbirds",8,"(0,4].2014.Low"
"88","mean.number.of.shared.partners.HL","Hummingbirds",0.678571428571429,"(0,4].2014.Low"
"89","cluster.coefficient.HL","Hummingbirds",0.304230769230769,"(0,4].2014.Low"
"90","weighted.cluster.coefficient.HL","Hummingbirds",0.0838259000537346,"(0,4].2014.Low"
"91","niche.overlap.HL","Hummingbirds",0.169572501555278,"(0,4].2014.Low"
"92","togetherness.HL","Hummingbirds",0.0859375,"(0,4].2014.Low"
"93","C.score.HL","Hummingbirds",0.637400793650794,"(0,4].2014.Low"
"94","V.ratio.HL","Hummingbirds",2.32121212121212,"(0,4].2014.Low"
"95","discrepancy.HL","Hummingbirds",16,"(0,4].2014.Low"
"96","extinction.slope.HL","Hummingbirds",2.74180383721284,"(0,4].2014.Low"
"97","robustness.HL","Hummingbirds",0.718569685321328,"(0,4].2014.Low"
"98","functional.complementarity.HL","Hummingbirds",39.4205267080096,"(0,4].2014.Low"
"99","partner.diversity.HL","Hummingbirds",1.23077914383884,"(0,4].2014.Low"
"100","generality.HL","Hummingbirds",3.89378396679235,"(0,4].2014.Low"
"101","Raw.Camera","Hummingbirds",52,"(0,4].2014.Low"
"102","Raw.Transect","Hummingbirds",28,"(0,4].2014.Low"
"103","connectance","Plants",0.2265625,"(0,4].2014.Low"
"104","web asymmetry","Plants",-0.333333333333333,"(0,4].2014.Low"
"105","links per species","Plants",1.20833333333333,"(0,4].2014.Low"
"106","number of compartments","Plants",1,"(0,4].2014.Low"
"107","compartment diversity","Plants",NA,"(0,4].2014.Low"
"108","cluster coefficient","Plants",0.21875,"(0,4].2014.Low"
"109","nestedness","Plants",25.7322985242578,"(0,4].2014.Low"
"110","weighted nestedness","Plants",0.402873101363855,"(0,4].2014.Low"
"111","weighted NODF","Plants",21.3626126126126,"(0,4].2014.Low"
"112","interaction strength asymmetry","Plants",0.0106579245417882,"(0,4].2014.Low"
"113","specialisation asymmetry","Plants",0.153428471213176,"(0,4].2014.Low"
"114","linkage density","Plants",2.96034854548993,"(0,4].2014.Low"
"115","weighted connectance","Plants",0.12334785606208,"(0,4].2014.Low"
"116","Fisher alpha","Plants",NA,"(0,4].2014.Low"
"117","Shannon diversity","Plants",3.03388389287134,"(0,4].2014.Low"
"118","interaction evenness","Plants",0.625281320982627,"(0,4].2014.Low"
"119","Alatalo interaction evenness","Plants",0.774494692282548,"(0,4].2014.Low"
"120","H2","Plants",0.662365309755863,"(0,4].2014.Low"
"121","number.of.species.HL","Plants",16,"(0,4].2014.Low"
"122","mean.number.of.shared.partners.HL","Plants",0.516666666666667,"(0,4].2014.Low"
"123","cluster.coefficient.HL","Plants",0.312692307692308,"(0,4].2014.Low"
"124","weighted.cluster.coefficient.HL","Plants",0.24251497005988,"(0,4].2014.Low"
"125","niche.overlap.HL","Plants",0.24027128780994,"(0,4].2014.Low"
"126","togetherness.HL","Plants",0.1578125,"(0,4].2014.Low"
"127","C.score.HL","Plants",0.58275462962963,"(0,4].2014.Low"
"128","V.ratio.HL","Plants",0.742765273311897,"(0,4].2014.Low"
"129","discrepancy.HL","Plants",13,"(0,4].2014.Low"
"130","extinction.slope.HL","Plants",1.67678678968375,"(0,4].2014.Low"
"131","robustness.HL","Plants",0.621214533402541,"(0,4].2014.Low"
"132","functional.complementarity.HL","Plants",41.8602432706899,"(0,4].2014.Low"
"133","partner.diversity.HL","Plants",0.629867253537344,"(0,4].2014.Low"
"134","generality.HL","Plants",2.0269131241875,"(0,4].2014.Low"
"135","Raw.Camera","Plants",52,"(0,4].2014.Low"
"136","Raw.Transect","Plants",28,"(0,4].2014.Low"
"137","connectance","Hummingbirds",0.216748768472906,"(4,9].2013.High"
"138","web asymmetry","Hummingbirds",-0.348837209302326,"(4,9].2013.High"
"139","links per species","Hummingbirds",2.04651162790698,"(4,9].2013.High"
"140","number of compartments","Hummingbirds",1,"(4,9].2013.High"
"141","compartment diversity","Hummingbirds",NA,"(4,9].2013.High"
"142","cluster coefficient","Hummingbirds",0.172413793103448,"(4,9].2013.High"
"143","nestedness","Hummingbirds",29.1012147641758,"(4,9].2013.High"
"144","weighted nestedness","Hummingbirds",0.326153370625812,"(4,9].2013.High"
"145","weighted NODF","Hummingbirds",18.7742326977739,"(4,9].2013.High"
"146","interaction strength asymmetry","Hummingbirds",0.0448606783942282,"(4,9].2013.High"
"147","specialisation asymmetry","Hummingbirds",0.176281719942384,"(4,9].2013.High"
"148","linkage density","Hummingbirds",4.68479259774403,"(4,9].2013.High"
"149","weighted connectance","Hummingbirds",0.108948665063815,"(4,9].2013.High"
"150","Fisher alpha","Hummingbirds",NA,"(4,9].2013.High"
"151","Shannon diversity","Hummingbirds",3.98237058621365,"(4,9].2013.High"
"152","interaction evenness","Hummingbirds",0.663026378967985,"(4,9].2013.High"
"153","Alatalo interaction evenness","Hummingbirds",0.692962696979662,"(4,9].2013.High"
"154","H2","Hummingbirds",0.59331143081198,"(4,9].2013.High"
"155","number.of.species.HL","Hummingbirds",14,"(4,9].2013.High"
"156","mean.number.of.shared.partners.HL","Hummingbirds",1.52747252747253,"(4,9].2013.High"
"157","cluster.coefficient.HL","Hummingbirds",0.344493383882908,"(4,9].2013.High"
"158","weighted.cluster.coefficient.HL","Hummingbirds",0.485969154961373,"(4,9].2013.High"
"159","niche.overlap.HL","Hummingbirds",0.104312787121208,"(4,9].2013.High"
"160","togetherness.HL","Hummingbirds",0.109414623837701,"(4,9].2013.High"
"161","C.score.HL","Hummingbirds",0.565985422642227,"(4,9].2013.High"
"162","V.ratio.HL","Hummingbirds",4.15242494226328,"(4,9].2013.High"
"163","discrepancy.HL","Hummingbirds",41,"(4,9].2013.High"
"164","extinction.slope.HL","Hummingbirds",4.55987716006381,"(4,9].2013.High"
"165","robustness.HL","Hummingbirds",0.81032376819912,"(4,9].2013.High"
"166","functional.complementarity.HL","Hummingbirds",88.2443127648034,"(4,9].2013.High"
"167","partner.diversity.HL","Hummingbirds",1.79889830347736,"(4,9].2013.High"
"168","generality.HL","Hummingbirds",6.63656694178395,"(4,9].2013.High"
"169","Raw.Camera","Hummingbirds",224,"(4,9].2013.High"
"170","Raw.Transect","Hummingbirds",155,"(4,9].2013.High"
"171","connectance","Plants",0.216748768472906,"(4,9].2013.High"
"172","web asymmetry","Plants",-0.348837209302326,"(4,9].2013.High"
"173","links per species","Plants",2.04651162790698,"(4,9].2013.High"
"174","number of compartments","Plants",1,"(4,9].2013.High"
"175","compartment diversity","Plants",NA,"(4,9].2013.High"
"176","cluster coefficient","Plants",0.172413793103448,"(4,9].2013.High"
"177","nestedness","Plants",28.9762101355981,"(4,9].2013.High"
"178","weighted nestedness","Plants",0.337734641773824,"(4,9].2013.High"
"179","weighted NODF","Plants",18.7742326977739,"(4,9].2013.High"
"180","interaction strength asymmetry","Plants",0.0448606783942282,"(4,9].2013.High"
"181","specialisation asymmetry","Plants",0.176281719942384,"(4,9].2013.High"
"182","linkage density","Plants",4.68479259774403,"(4,9].2013.High"
"183","weighted connectance","Plants",0.108948665063815,"(4,9].2013.High"
"184","Fisher alpha","Plants",NA,"(4,9].2013.High"
"185","Shannon diversity","Plants",3.98237058621365,"(4,9].2013.High"
"186","interaction evenness","Plants",0.663026378967985,"(4,9].2013.High"
"187","Alatalo interaction evenness","Plants",0.692962696979662,"(4,9].2013.High"
"188","H2","Plants",0.59331143081198,"(4,9].2013.High"
"189","number.of.species.HL","Plants",29,"(4,9].2013.High"
"190","mean.number.of.shared.partners.HL","Plants",0.889162561576355,"(4,9].2013.High"
"191","cluster.coefficient.HL","Plants",0.292864736402417,"(4,9].2013.High"
"192","weighted.cluster.coefficient.HL","Plants",0.77935564329786,"(4,9].2013.High"
"193","niche.overlap.HL","Plants",0.20394909726947,"(4,9].2013.High"
"194","togetherness.HL","Plants",0.144365135216648,"(4,9].2013.High"
"195","C.score.HL","Plants",0.537119057393072,"(4,9].2013.High"
"196","V.ratio.HL","Plants",1.64753157290471,"(4,9].2013.High"
"197","discrepancy.HL","Plants",39,"(4,9].2013.High"
"198","extinction.slope.HL","Plants",2.60164666132355,"(4,9].2013.High"
"199","robustness.HL","Plants",0.717423631701582,"(4,9].2013.High"
"200","functional.complementarity.HL","Plants",107.131524044274,"(4,9].2013.High"
"201","partner.diversity.HL","Plants",0.920194408235757,"(4,9].2013.High"
"202","generality.HL","Plants",2.73301825370411,"(4,9].2013.High"
"203","Raw.Camera","Plants",224,"(4,9].2013.High"
"204","Raw.Transect","Plants",155,"(4,9].2013.High"
"205","connectance","Hummingbirds",0.19047619047619,"(4,9].2013.Low"
"206","web asymmetry","Hummingbirds",-0.166666666666667,"(4,9].2013.Low"
"207","links per species","Hummingbirds",1.66666666666667,"(4,9].2013.Low"
"208","number of compartments","Hummingbirds",1,"(4,9].2013.Low"
"209","compartment diversity","Hummingbirds",NA,"(4,9].2013.Low"
"210","cluster coefficient","Hummingbirds",0.142857142857143,"(4,9].2013.Low"
"211","nestedness","Hummingbirds",16.9246390281186,"(4,9].2013.Low"
"212","weighted nestedness","Hummingbirds",0.395205020371608,"(4,9].2013.Low"
"213","weighted NODF","Hummingbirds",21.3920382968002,"(4,9].2013.Low"
"214","interaction strength asymmetry","Hummingbirds",-0.270656946804159,"(4,9].2013.Low"
