"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.175595238095238,0.175595238095238
"web asymmetry",-0.4,-0.4
"links per species",2.95,2.95
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.116071428571429,0.116071428571429
"nestedness",12.089301948914,12.0819973629144
"weighted nestedness",0.527184641166767,0.524203505778497
"weighted NODF",17.7526529161422,17.7526529161422
"interaction strength asymmetry",-0.682925514014076,-0.682925514014076
"specialisation asymmetry",0.207514747726015,0.207514747726015
"linkage density",7.9138889724957,7.9138889724957
"weighted connectance",0.0989236121561963,0.0989236121561963
"Fisher alpha",NA,NA
"Shannon diversity",4.88405922214182,4.88405922214182
"interaction evenness",0.678020862194561,0.678020862194561
"Alatalo interaction evenness",0.710925044870177,0.710925044870177
"H2",0.541447014236596,0.541447014236596
"number.of.species.HL",24,56
"mean.number.of.shared.partners.HL",2.31521739130435,1.32402597402597
"cluster.coefficient.HL",0.362617023165315,0.238442786298
"weighted.cluster.coefficient.HL",0.687756690779976,0.869504175944609
"niche.overlap.HL",0.0961919715694942,0.19752488243128
"togetherness.HL",0.0872846421177167,0.139129052765416
"C.score.HL",0.491496294602114,0.490396410081707
"V.ratio.HL",11.5277108433735,3.26758031902943
"discrepancy.HL",101,101
"extinction.slope.HL",4.61633930328424,3.02840715737062
"robustness.HL",0.793639107144724,0.738934916009374
"functional.complementarity.HL",127.323137291036,167.465144098394
"partner.diversity.HL",2.36404101271747,1.16634057025917
"generality.HL",12.259509251514,3.56826869347739
