"","Metric","Level","value","Time"
"1","connectance","Hummingbirds",0.154166666666667,"(0,4].2014"
"2","web asymmetry","Hummingbirds",-0.304347826086957,"(0,4].2014"
"3","links per species","Hummingbirds",1.60869565217391,"(0,4].2014"
"4","number of compartments","Hummingbirds",1,"(0,4].2014"
"5","compartment diversity","Hummingbirds",NA,"(0,4].2014"
"6","cluster coefficient","Hummingbirds",0.133333333333333,"(0,4].2014"
"7","nestedness","Hummingbirds",23.0717696707109,"(0,4].2014"
"8","weighted nestedness","Hummingbirds",0.387715505977921,"(0,4].2014"
"9","weighted NODF","Hummingbirds",27.2217217217217,"(0,4].2014"
"10","interaction strength asymmetry","Hummingbirds",0,"(0,4].2014"
"11","specialisation asymmetry","Hummingbirds",0.198286704130118,"(0,4].2014"
"12","linkage density","Hummingbirds",5.32432432432432,"(0,4].2014"
"13","weighted connectance","Hummingbirds",0.115746180963572,"(0,4].2014"
"14","Fisher alpha","Hummingbirds",13421772664.027,"(0,4].2014"
"15","Shannon diversity","Hummingbirds",4.30406509320417,"(0,4].2014"
"16","interaction evenness","Hummingbirds",0.697151637709627,"(0,4].2014"
"17","Alatalo interaction evenness","Hummingbirds",1,"(0,4].2014"
"18","H2","Hummingbirds",0,"(0,4].2014"
"19","number.of.species.HL","Hummingbirds",16,"(0,4].2014"
"20","mean.number.of.shared.partners.HL","Hummingbirds",0.816666666666667,"(0,4].2014"
"21","cluster.coefficient.HL","Hummingbirds",0.233333333333333,"(0,4].2014"
"22","weighted.cluster.coefficient.HL","Hummingbirds",0.277244688142563,"(0,4].2014"
"23","niche.overlap.HL","Hummingbirds",0.141129894357449,"(0,4].2014"
"24","togetherness.HL","Hummingbirds",0.0713734567901235,"(0,4].2014"
"25","C.score.HL","Hummingbirds",0.690471873162845,"(0,4].2014"
"26","V.ratio.HL","Hummingbirds",3.07658643326039,"(0,4].2014"
"27","discrepancy.HL","Hummingbirds",43,"(0,4].2014"
"28","extinction.slope.HL","Hummingbirds",3.20664737588174,"(0,4].2014"
"29","robustness.HL","Hummingbirds",0.746478628521188,"(0,4].2014"
"30","functional.complementarity.HL","Hummingbirds",37.8741719527817,"(0,4].2014"
"31","partner.diversity.HL","Hummingbirds",1.78765561560908,"(0,4].2014"
"32","generality.HL","Hummingbirds",7,"(0,4].2014"
"33","Raw.Camera","Hummingbirds",251,"(0,4].2014"
"34","Raw.Transect","Hummingbirds",66,"(0,4].2014"
"35","connectance","Plants",0.154166666666667,"(0,4].2014"
"36","web asymmetry","Plants",-0.304347826086957,"(0,4].2014"
"37","links per species","Plants",1.60869565217391,"(0,4].2014"
"38","number of compartments","Plants",1,"(0,4].2014"
"39","compartment diversity","Plants",NA,"(0,4].2014"
"40","cluster coefficient","Plants",0.133333333333333,"(0,4].2014"
"41","nestedness","Plants",23.0465666044566,"(0,4].2014"
"42","weighted nestedness","Plants",0.390037380968756,"(0,4].2014"
"43","weighted NODF","Plants",27.2217217217217,"(0,4].2014"
"44","interaction strength asymmetry","Plants",0,"(0,4].2014"
"45","specialisation asymmetry","Plants",0.198286704130118,"(0,4].2014"
"46","linkage density","Plants",5.32432432432432,"(0,4].2014"
"47","weighted connectance","Plants",0.115746180963572,"(0,4].2014"
"48","Fisher alpha","Plants",13421772664.027,"(0,4].2014"
"49","Shannon diversity","Plants",4.30406509320417,"(0,4].2014"
"50","interaction evenness","Plants",0.697151637709627,"(0,4].2014"
"51","Alatalo interaction evenness","Plants",1,"(0,4].2014"
"52","H2","Plants",0,"(0,4].2014"
"53","number.of.species.HL","Plants",30,"(0,4].2014"
"54","mean.number.of.shared.partners.HL","Plants",0.510344827586207,"(0,4].2014"
"55","cluster.coefficient.HL","Plants",0.228040540540541,"(0,4].2014"
"56","weighted.cluster.coefficient.HL","Plants",0.512335526315789,"(0,4].2014"
"57","niche.overlap.HL","Plants",0.176940199009165,"(0,4].2014"
"58","togetherness.HL","Plants",0.0853128991060026,"(0,4].2014"
"59","C.score.HL","Plants",0.668861977741288,"(0,4].2014"
"60","V.ratio.HL","Plants",1.54171562867215,"(0,4].2014"
"61","discrepancy.HL","Plants",41,"(0,4].2014"
"62","extinction.slope.HL","Plants",1.99858910786865,"(0,4].2014"
"63","robustness.HL","Plants",0.661938848062606,"(0,4].2014"
"64","functional.complementarity.HL","Plants",41.050906592145,"(0,4].2014"
"65","partner.diversity.HL","Plants",1.11746776434581,"(0,4].2014"
"66","generality.HL","Plants",3.64864864864865,"(0,4].2014"
"67","Raw.Camera","Plants",251,"(0,4].2014"
"68","Raw.Transect","Plants",66,"(0,4].2014"
"69","connectance","Hummingbirds",0.175925925925926,"(4,9].2013"
"70","web asymmetry","Hummingbirds",-0.263157894736842,"(4,9].2013"
"71","links per species","Hummingbirds",2.33333333333333,"(4,9].2013"
"72","number of compartments","Hummingbirds",1,"(4,9].2013"
"73","compartment diversity","Hummingbirds",NA,"(4,9].2013"
"74","cluster coefficient","Hummingbirds",0.111111111111111,"(4,9].2013"
"75","nestedness","Hummingbirds",19.1954467177713,"(4,9].2013"
"76","weighted nestedness","Hummingbirds",0.463543931729293,"(4,9].2013"
"77","weighted NODF","Hummingbirds",37.8200371057514,"(4,9].2013"
"78","interaction strength asymmetry","Hummingbirds",0,"(4,9].2013"
"79","specialisation asymmetry","Hummingbirds",0.0949627786042878,"(4,9].2013"
"80","linkage density","Hummingbirds",8.33834586466165,"(4,9].2013"
"81","weighted connectance","Hummingbirds",0.146286769555468,"(4,9].2013"
"82","Fisher alpha","Hummingbirds",13421772734.1692,"(4,9].2013"
"83","Shannon diversity","Hummingbirds",4.89034912822175,"(4,9].2013"
"84","interaction evenness","Hummingbirds",0.737827187651112,"(4,9].2013"
"85","Alatalo interaction evenness","Hummingbirds",1,"(4,9].2013"
"86","H2","Hummingbirds",0,"(4,9].2013"
"87","number.of.species.HL","Hummingbirds",21,"(4,9].2013"
"88","mean.number.of.shared.partners.HL","Hummingbirds",1.54761904761905,"(4,9].2013"
"89","cluster.coefficient.HL","Hummingbirds",0.299707602339181,"(4,9].2013"
"90","weighted.cluster.coefficient.HL","Hummingbirds",0.553543452216386,"(4,9].2013"
"91","niche.overlap.HL","Hummingbirds",0.237011925764846,"(4,9].2013"
"92","togetherness.HL","Hummingbirds",0.104622758194187,"(4,9].2013"
"93","C.score.HL","Hummingbirds",0.464699447578235,"(4,9].2013"
"94","V.ratio.HL","Hummingbirds",6.19203980099503,"(4,9].2013"
"95","discrepancy.HL","Hummingbirds",65,"(4,9].2013"
"96","extinction.slope.HL","Hummingbirds",3.9617376877241,"(4,9].2013"
"97","robustness.HL","Hummingbirds",0.784346160113723,"(4,9].2013"
"98","functional.complementarity.HL","Hummingbirds",49.1960849304969,"(4,9].2013"
"99","partner.diversity.HL","Hummingbirds",2.16162546714442,"(4,9].2013"
"100","generality.HL","Hummingbirds",10.7894736842105,"(4,9].2013"
"101","Raw.Camera","Hummingbirds",482,"(4,9].2013"
"102","Raw.Transect","Hummingbirds",221,"(4,9].2013"
"103","connectance","Plants",0.175925925925926,"(4,9].2013"
"104","web asymmetry","Plants",-0.263157894736842,"(4,9].2013"
"105","links per species","Plants",2.33333333333333,"(4,9].2013"
"106","number of compartments","Plants",1,"(4,9].2013"
"107","compartment diversity","Plants",NA,"(4,9].2013"
"108","cluster coefficient","Plants",0.111111111111111,"(4,9].2013"
"109","nestedness","Plants",19.2109378250673,"(4,9].2013"
"110","weighted nestedness","Plants",0.459495504049069,"(4,9].2013"
