"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.139318885448916,0.139318885448916
"web asymmetry",-0.0555555555555556,-0.0555555555555556
"links per species",1.25,1.25
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.105263157894737,0.105263157894737
"nestedness",20.16265752576,20.1717083154326
"weighted nestedness",0.33017382751626,0.321680209969958
"weighted NODF",19.728555917481,19.728555917481
"interaction strength asymmetry",0,0
"specialisation asymmetry",-0.000459998663370405,-0.000459998663370405
"linkage density",3.55555555555556,3.55555555555556
"weighted connectance",0.0987654320987654,0.0987654320987654
"Fisher alpha",6710886378.05556,6710886378.05556
"Shannon diversity",3.80666248977032,3.80666248977032
"interaction evenness",0.65885973693326,0.65885973693326
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",17,19
"mean.number.of.shared.partners.HL",0.345588235294118,0.39766081871345
"cluster.coefficient.HL",0.211695906432749,0.181699346405229
"weighted.cluster.coefficient.HL",0.0610169491525424,0.0955056179775281
"niche.overlap.HL",0.118121339444869,0.156446672236146
"togetherness.HL",0.0540091036414566,0.0761119971646287
"C.score.HL",0.774480625583567,0.731319038336582
"V.ratio.HL",1.68051118210863,0.913946587537092
"discrepancy.HL",28,26
"extinction.slope.HL",2.07650997493248,2.17123931199289
"robustness.HL",0.669172776665241,0.681603210656834
"functional.complementarity.HL",27.4318936248995,27.7590897471455
"partner.diversity.HL",1.21139334809932,0.999577583008882
"generality.HL",4.02222222222222,3.08888888888889
"Raw.Camera",117,117
"Raw.Transect",32,32
