"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.3,0.3
"web asymmetry",-0.111111111111111,-0.111111111111111
"links per species",0.666666666666667,0.666666666666667
"number of compartments",3,3
"compartment diversity",2.70479734326014,2.70479734326014
"cluster coefficient",0.2,0.2
"nestedness",35.4261673195445,35.4261673195445
"weighted nestedness",NA,NA
"weighted NODF",18.75,18.75
"interaction strength asymmetry",NA,NA
"specialisation asymmetry",0,0
"linkage density",1.66666666666667,1.66666666666667
"weighted connectance",0.185185185185185,0.185185185185185
"Fisher alpha",838860795.708333,838860795.708333
"Shannon diversity",1.79175946922805,1.79175946922805
"interaction evenness",0.598104004501844,0.598104004501844
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",4,5
"mean.number.of.shared.partners.HL",0.166666666666667,0.3
"cluster.coefficient.HL",0.4,0.333333333333333
"weighted.cluster.coefficient.HL",NA,NA
"niche.overlap.HL",0.0833333333333333,0.233333333333333
"togetherness.HL",0.0833333333333333,0.233333333333333
"C.score.HL",0.833333333333333,0.7
"V.ratio.HL",0.75,0.222222222222222
"discrepancy.HL",3,2
"extinction.slope.HL",1.41050438615782,1.27024962348692
"robustness.HL",0.592932642726304,0.56
"functional.complementarity.HL",6.24264068711929,5.45453218391647
"partner.diversity.HL",0.549306144334055,0.231049060186648
"generality.HL",2,1.33333333333333
"Raw.Camera",0,0
"Raw.Transect",14,14
