"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",1,1
"web asymmetry",0.666666666666667,0.666666666666667
"links per species",0.833333333333333,0.833333333333333
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",1,1
"nestedness",NA,NA
"weighted nestedness",NA,NA
"weighted NODF",NA,NA
"interaction strength asymmetry",NA,NA
"specialisation asymmetry",NA,NA
"linkage density",3,3
"weighted connectance",0.5,0.5
"Fisher alpha",838860790,838860790
"Shannon diversity",1.6094379124341,1.6094379124341
"interaction evenness",1,1
"Alatalo interaction evenness",1,1
"H2",NA,NA
"number.of.species.HL",5,1
"mean.number.of.shared.partners.HL",1,NA
"cluster.coefficient.HL",1,1
"weighted.cluster.coefficient.HL",NA,NA
"niche.overlap.HL",1,NA
"togetherness.HL",NA,NA
"C.score.HL",0,NA
"V.ratio.HL",NA,NA
"discrepancy.HL",0,0
"extinction.slope.HL",NA,0.390978531045961
"robustness.HL",NA,0.531481474595331
"functional.complementarity.HL",0,0
"partner.diversity.HL",0,1.6094379124341
"generality.HL",1,5
"Raw.Camera",0,0
"Raw.Transect",13,13
